"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos","std.points"
"1","default","Feminino",14,"p14",NA,27.094,1620126554844,1620126581938,3,"2021-05-04 08:09:13","Aceito",3,2,4,2,4,2,4,3,2,7,3,5,6,6,6,"2021-05-04 08:10:21",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Negro","Classe Média",NA,"2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.88888888888889,4,5.5,4,-4.47213595499958
"2","default","Feminino",35,"p35",NA,265.217,1620151495115,1620151760332,14,"2021-05-04 15:04:53","Aceito",3,3,3,5,4,3,2,2,3,8,8,8,8,8,7,"2021-05-04 15:13:40",5,5,4,4,3,5,4,2,2,8,5,6,8,4,4,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.11111111111111,3.77777777777778,7.83333333333333,5.83333333333333,-2.64575131106459
"3","default","Feminino",43,"p43",NA,278.712,1620227798912,1620228077624,16,"2021-05-05 12:16:33","Aceito",3,4,4,5,4,4,5,4,5,8,8,8,8,8,8,"2021-05-05 12:25:28",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Negro","Classe Média","Araçoiaba- PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.22222222222222,5,8,8,-2.23606797749979
"4","default","Feminino",52,"p52",NA,147.414,1619836949913,1619837097327,11,"2021-04-30 23:42:40","Aceito",2,1,3,5,5,4,1,5,5,2,4,7,8,6,6,"2021-04-30 23:47:00",3,5,3,4,1,5,5,5,5,3,4,3,7,8,7,"Pardo","Classe Baixa","Carpi - Permbuco","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.44444444444444,4,5.5,5.33333333333333,-3.16227766016838
"5","default","Feminino",56,"p56",NA,103.844,1619715425174,1619715529018,4,"2021-04-29 13:57:03","Aceito",3,3,3,4,4,4,4,4,3,5,5,5,5,5,5,"2021-04-29 14:29:15",4,5,3,3,3,3,4,3,4,5,7,7,6,5,6,"Pardo","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.55555555555556,3.55555555555556,5,6,-4.12310562561766
"6","default","Feminino",61,"p61",NA,177.307,1619716986493,1619717163800,6,"2021-04-29 14:23:03","Aceito",3,2,2,3,3,2,1,5,5,4,5,5,6,7,8,"2021-04-29 14:32:31",4,2,3,2,2,4,3,2,4,6,1,5,7,4,3,"Pardo","Classe Média","paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.88888888888889,2.88888888888889,5.83333333333333,4.33333333333333,-3.87298334620742
"7","default","Feminino",75,"p75",NA,283.066,1619803898938,1619804182004,12,"2021-04-30 14:31:38","Aceito",5,3,4,5,5,5,3,3,5,7,7,7,5,5,5,"2021-04-30 14:42:42",4,3,4,4,1,5,5,4,5,8,8,7,8,5,6,"Pardo","Classe Média","Carpi- PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.22222222222222,3.88888888888889,6,7,-3
"8","default","Feminino",81,"p81",NA,394.778,1619809400798,1619809795576,16,"2021-04-30 16:05:46","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"2021-04-30 16:17:52",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.55555555555556,4,7.66666666666667,8,-2.23606797749979
"9","default","Feminino",82,"p82",NA,394.778,1619809400798,1619809795576,16,"2021-04-30 16:04:08","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"2021-04-30 16:17:52",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.55555555555556,4,7.66666666666667,8,-2.23606797749979
"10","default","Feminino",99,"p99",NA,220.268,1620146789742,1620147010010,12,"2021-05-04 13:46:27","Aceito",3,4,5,4,4,5,4,5,3,8,8,8,7,8,7,"2021-05-04 13:53:11",4,4,2,2,5,3,4,4,5,7,8,5,6,1,4,"Pardo","Classe Média","carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.11111111111111,3.66666666666667,7.66666666666667,5.16666666666667,-3
